Address,City,State,Country,County,Court,JudgeName
641 Union Street,Lancaster,PA,USA,Lancaster,02-1-01,Adam J. Witkonis
2205 Oregon Pike,Lancaster,PA,USA,Lancaster,02-1-02,David P. Miller
341 Chestnut Street,Columbia,PA,USA,Lancaster,02-1-03,Miles K. Bixler
123 Locust Street (Rear),Lancaster,PA,USA,Lancaster,02-2-01,Jodie E. Richardson
150 North Queen Street Suite 120,Lancaster,PA,USA,Lancaster,02-2-02,Bruce A. Roth
1351 Elm Avenue,Lancaster,PA,USA,Lancaster,02-2-03,Mary Mongiovi Sponaugle
796-A New Holland Avenue,Lancaster,PA,USA,Lancaster,02-2-04,Andrew T. LeFever
2168 Embassy Drive Suite 150,Lancaster,PA,USA,Lancaster,02-2-05,Brian E. Chudzik
841 Stehman Road,Millersville,PA,USA,Lancaster,02-2-06,Joshua R. Keller
609 East Main Street,Ephrata,PA,USA,Lancaster,02-2-07,Tony S. Russell
690 Furnace Hills Pike,Lititz,PA,USA,Lancaster,02-2-08,Edward A. Tobin
424 South Angle Street,Mount Joy,PA,USA,Lancaster,02-3-01,Scott E. Albert
15 Geist Road,Lancaster,PA,USA,Lancaster,02-3-02,B. Denise Commins
324 Beaver Valley Pike,Willow Street,PA,USA,Lancaster,02-3-03,William E. Benner
25 East State Street,Quarryville,PA,USA,Lancaster,02-3-04,Stuart J. Mylin
14 Center Street,Intercourse,PA,USA,Lancaster,02-3-05,Raymond S. Sheller
745B East Main Street,New Holland,PA,USA,Lancaster,02-3-06,Jonathan W. Heisse
2 Cardinal Drive,Stevens,PA,USA,Lancaster,02-3-07,Nancy G. Hamill
920 South Spruce Street,Elizabethtown,PA,USA,Lancaster,02-3-09,Randall L. Miller
